Unnamed: 0,text,created_at,Location,Language,Clean Tweets
0,RT @teresabewsey5: @MaryJoe38642126 @TheSun PLEASE REPORT THAT CHINA SHOULD BAN THE #WET #MARKETS AND #YULIN ALSO #DOG &amp; #CAT #MEAT TRADE.…,2020-06-16 23:59:59,Brazil,RT @teresabewsey5: @MaryJoe38642126 @TheSun PLEASE REPORT THAT CHINA SHOULD BAN THE #WET #MARKETS AND #YULIN ALSO #DOG &amp; #CAT #MEAT TRADE.…, PLEASE REPOTHAT CHINA SHOULD BAN THE WET MARKETS AND YULIN ALSO DOG amp CAT MEAT TRADE 
1,"RT @PattyeLJ: Two weeks ago, Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask. 

Today, the S…",2020-06-16 23:59:59,,"RT @PattyeLJ: Two weeks ago, Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask. 

Today, the S…", Two weeks ago Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask Today the S 
2,RT @exoticgamora: 260 workers at an 'unnamed' Central Florida airport have tested positive for coronavirus after nearly 500 employees were…,2020-06-16 23:59:59,Btwn. Mpls. and St. Cloud,RT @exoticgamora: 260 workers at an 'unnamed' Central Florida airport have tested positive for coronavirus after nearly 500 employees were…, workers at an unnamed Central Florida airport have tested positive for coronavirus after nearly employees were 
3,"RT @PattyeLJ: Two weeks ago, Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask. 

Today, the S…",2020-06-16 23:59:59,,"RT @PattyeLJ: Two weeks ago, Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask. 

Today, the S…", Two weeks ago Republican congressman Tom Rice appeared on the House floor while REFUSING to wear a face mask Today the S 
4,RT @PeterHotez: This is not from expanded testing. The rise in #Houston #COVID19 cases is linked to an acceleration in hospitalizations htt…,2020-06-16 23:59:59,"Atlanta, GA",RT @PeterHotez: This is not from expanded testing. The rise in #Houston #COVID19 cases is linked to an acceleration in hospitalizations htt…, This is not from expanded testing The rise in Houston COVID cases is linked to an acceleration in hospitalizations htt 
5,"RT @kr3at: New York reports 1 new case and 2 new deaths bringing total confirmed cases there to 405,782 and 30,998 total deaths, with 643 n…",2020-06-16 23:59:59,"California, USA","RT @kr3at: New York reports 1 new case and 2 new deaths bringing total confirmed cases there to 405,782 and 30,998 total deaths, with 643 n…",at New York reports new case and new deaths bringing total confirmed cases there to and total deaths with n 
6,RT @rodney_kun: The multivitamin gummies i ate as a kid escorting the coronavirus out my body https://t.co/qJiPeBGuzh,2020-06-16 23:59:59,,RT @rodney_kun: The multivitamin gummies i ate as a kid escorting the coronavirus out my body https://t.co/qJiPeBGuzh,_kun The multivitamin gummies i ate as a kid escorting the coronavirus out my body 
7,RT @adamcbest: Greg Abbott never took coronavirus seriously enough and rushed reopening Texas. Now he wants to scold young people for follo…,2020-06-16 23:59:59,"Yeehawville, USA",RT @adamcbest: Greg Abbott never took coronavirus seriously enough and rushed reopening Texas. Now he wants to scold young people for follo…, Greg Abbott never took coronavirus seriously enough and rushed reopening Texas Now he wants to scold young people for follo 
8,RT @TannerTrue: EITHER YOU’RE ON LOCKDOWN OR YOU ARENT. This is ridiculous. FOR THE RECORD: THERE IS STILL NO CURE NOR VACCINE FOR CORONAVI…,2020-06-16 23:59:59,Nowhere USA,RT @TannerTrue: EITHER YOU’RE ON LOCKDOWN OR YOU ARENT. This is ridiculous. FOR THE RECORD: THERE IS STILL NO CURE NOR VACCINE FOR CORONAVI…, EITHER YOU RE ON LOCKDOWN OR YOU ARENT This is ridiculous FOR THE RECORD THERE IS STILL NO CURE NOR VACCINE FOR CORONAVI 
9,RT @rweingarten: Tulsa Officials Plead for Trump to Cancel Rally As Virus Spikes in Oklahoma  https://t.co/ABUup6eRRR,2020-06-16 23:59:59,Vermont,RT @rweingarten: Tulsa Officials Plead for Trump to Cancel Rally As Virus Spikes in Oklahoma  https://t.co/ABUup6eRRR, Tulsa Officials Plead for Trump to Cancel Rally As Virus Spikes in Oklahoma 
